category,darija,english,source
school_studying,el mou3adel mte3i el sne behi,my grade this year is good,self
school_studying,el classe fih barcha bheyem w mahouch ndhif,the classroom has a lot of donkeys and is not clean,self
school_studying,7abit nkammel 9rayti fil fac fi america,i want to finishmy studies at university in america,self
school_studying,ma fhemtech el cours mta3 el math,i didn't understand the math course,self
school_studying,manich behi fil francais,im not very good at french,self
health_illness,rasi youja3 barcha,my head hurts a lot,self
health_illness,3andi ka77a men mbera7,i have a cough since yesterday,self
health_illness,7sit badni bered ou s5oun,i feel hot and cold in my body,self
health_illness,mchit lel tebib el youm,i went to the doctor today,self
health_illness,3andi ouji3a fi kerchi mel sbe7,i have a stomachache since morning,self
health_illness,el dwe mte3i ykhalini nor9od,my medicine makes me sleepy,self
health_illness,3mridh manajamtech n9oum mel farch,i'm sick and couldn't get up from bed,self
health_illness,llezem terte7 w tochreb barcha me,you need to rest and drink a lot of water,self
health_illness,ommi tla3elha el tension,my mom has high blood pressure,self
health_illness,3andi 7saseya mel 8abra,i have an allergy to dust,self
tunisian_slang,yezzi rak tdhaya3li fi wa9ti,that's enough you're wasting my time,self
tunisian_slang,jaw yal hob el youm kol chay mche mrgl,awesome today everything went well,self
tunisian_slang,7otha fi belek hedhi e5er mara ou ma3adech bich tsir,never mind it's just once and it won't happen again,self
tunisian_slang,hedha mouch mrigel ykhaf men kolchay,this guy is not tough he's scared of everything,self
tunisian_slang,haw jeyeb feha yefehmelha,supposedly he's the one who knows everything,self
tunisian_slang,yedi lyoum jawi behi 3al le5er,i'm in top shape today i'm not tired at all,self
tunisian_slang,zeyda menek sa7bi faza 5ayba,shame on you for doing that,self
tunisian_slang,winou 5ouya 93adet nlawej 3lih mal9itouch,where is my brother i went to look for him and i didnt find him,self
tunisian_slang,yal hob ma3andekch mo5,you dummy you have no sense,self
tunisian_slang,7ra9 ro7ou lila kemla bech yanja7,he was grinding all night to pass,self
tunisian_proverbs,eli fat met w eli jey a7sen,there are better days to come and we should forget the past,self
tunisian_proverbs,el 9erd fi 3in omou 8zal,a mother will always see her children as beautiful,self
tunisian_proverbs,dar jark 9bal darek,you must protect your neighbor before yourself,self
tunisian_proverbs,el yed eli ma ta9darch 3aleha bousha,if you cant beat them submit to them,self
tunisian_proverbs,3ich w tchof,live long enough to see truly the world,self
tunisian_proverbs,el beb eli yji mennou ri7 seddou w erte7,the path that provides nothing to you should be changed,self
tunisian_proverbs,kol m3awej bich ywali 7tab,every crooked person is as good as firewood,self
tunisian_proverbs,eli ma 3andouch kbir yechri kbir,buy your way through life and situations,self
tunisian_proverbs,el 7it el 9sir 3douk,a weak person will become exploitable,self
tunisian_proverbs,li 8ab 8ab 9asmou,if you dont act and claim whats yours no one will give it to you,self
weather,el jaw bered barcha elyoum,it's very cold today,self
weather,el jaw s5on w chams 9wiya,it's hot and the sun is scorching,self
weather,el chte sabet barcha el lila ,it rained a lot last night,self
weather,kifeh el ta9s lyoum ,what's the weather like today,self
weather,famma ri7 9awya w bared,there's a cold strong wind,self
weather,el ta9s m8ayem ou matnajamch tchouf el chams ,it's so cloudy you can't see the sun,self
weather,bech tsob el chte 8odwa el sbe7 ,it's going to rain tomorrow morning,self
weather,ch chams tal3et ba3d el chte,the sun came out after the rain,self
weather,n7es fil bard fi 3dhami,the cold is getting into the bones,self
weather,el ta9s ma7leh w safi elyoum,the weather is clear and beautiful today,self
seasons,el sif je ou bich nemchou n3oumou fil b7ar ,summer came and we will go swim in the ocean,self
seasons,el chte bared barcha fi tounes,winter is very cold in Tunisia,self
seasons,fi rbi3 el ta9s safi w el ward yetfata7,the weather is clear and flowers bloom,self
seasons,el 5rif fi tounes ta9sou ta7foun,autumn in tunisia has a nice weather,self
seasons,fil sif kol youm nemchou lil b7ar,in the summer we go everyday to the sea,self
seasons,el chthe a7sen wa9t bech tochrob fih 7lib s5oun ,winter is the best time to drink hot milk,self
seasons,ba3d el denya tedhlem fisa3,after autumn it gets dark early,self
seasons,fi rbi3 no5orjou nala3bou el bara ,in spring we go play outside,self
seasons,el sif yet3ada fisa3 w el lil 9air,summer passes fast and the nights are short,self
seasons,fi el chte el lil yetwel ou el nhar ye9sar,in winter the night gets longer and the day shorter,self
islamic_expressions,inchallah narja3ou nchofou ba3dhna,i hope we see each other again,self
islamic_expressions,hamdullah 3la kol 7al,we are greatful no matter the results ,self
islamic_expressions, haya neklou bismiallah el ra7men el ra7im , lets start eating,self
islamic_expressions,tbarkallah 3lik weldek mzyen barcha,your son is very handsome,self
islamic_expressions,maktoub ,it was fated to happen ,self
islamic_expressions,rabbi ysahalek fil devoirat,i hope you do well on the exams ,self
islamic_expressions,rabi yostorna nchlh,i hope we are protected ,self
islamic_expressions,rabi yar7amha kenet mra tayba,she was a kind woman,self
islamic_expressions,mashallah 3la benti kebret,my daughter has grown up well,self
islamic_expressions,fi aman allah nchoufek 8odwa ,i will see you tomorrow,self
transportation,win el mahatta?,where is the bus station?,self
transportation,a3tini ticket lel marsa 3aychek,give me a ticket to la marsa please,self
transportation,fama na9l lel 3asma ?,is there a louage to the capital?,self
transportation,za3ma najem nousel bel metro?,can i get there by metro?,self
transportation,el coursa mta3 el taxi 8aliya chwaya,the taxi fare is a bit expensive,self
transportation,wini m7atet el kiran,where is the bus stop?,self
transportation,aandi wa9t bech nousel?,do i have enough time to arrive?,self
transportation,el train mta3 tounes wa9tech yemchi?,when does the tunis train leave?,self
transportation,emchi toul mba3d dour 3al isar,go straight then turn left,self
transportation,haya ne9mou taxi tatla3 ar5es,lets share a taxi it will be cheaper ,self
french_loanwords_darija,charji el portable mte3ek,charge your phone,self
french_loanwords_darija,7ot el 7weyej fel 5zena,put the clothes in the closets,self
french_loanwords_darija,taw na5ou taxi bech nousel fil wa9t,i'll take a taxi to arrive on time ,self
french_loanwords_darija,el frigidaire fera8 mafih 7ata chay,the fridge is empty there's nothing in it,self
french_loanwords_darija,3andek stylo bech nekteb bih ?,do you have a pen to write with?,self
french_loanwords_darija,talifouni ta7 charge,my phone battery is dead,self
french_loanwords_darija,bara lel pharmacie jib dwe el ras,go to the pharmacy get medicine for the headache,self
french_loanwords_darija,el ascenseur ma yekhedimch el youm,the elevator isn't working today,self
french_loanwords_darija,7ot el 7weyej fel valise bich nsefrou,pack the clothes in the suitcase we're traveling,self
french_loanwords_darija,ba7thena clinique 9rib mel dar,we have a clinic close to the house,self
cafe_culture,a3tini 9ahwa 7lib s8ira,give me a small coffee with milk,self
cafe_culture,a3mali shicha toffa7 w 7ot fa7m behi,male me an apple shisha and put good coal ,self
cafe_culture,nemchiw nel3bou karta fel 9ahwa,let's go play cards at the cafe,self
cafe_culture,ya garson a3tina zouz kisen me  bardin,waiter give us two glasses of cold water,self
cafe_culture,nemchiew nchoufou el match fel 9ahwa el lila,let's go watch the match at the cafe tonight,self
cafe_culture,baba yerkech fil 9ahwa kol sbe7 m3a s7abou,my dad sits at the cafe every morning with his friends,self
cafe_culture,el shisha mte3i tfet 3awed cha3elha,my shisha went out relight it,self
cafe_culture,express 9wiya min 8ir soker,a strong expresso without sugar ,self
cafe_culture,hedha dima fel 9ahwa mel sbe7 lel 3cheya,he's always at the cafe sitting from morning till evening,self
cafe_culture,nel3bou domino mara bark ou nemchiew,let's play one round of dominos then we leave,self
code_switching,je suis fatigué bezzef,I'm extremely tired,self
code_switching,c'est normal haka,is this normal !,self
code_switching,franchement mouch normal hedha,honestly this is not normal !,self
code_switching,laisse tomber ma3adech nheb naaref,forget it I don't want to know anymore,self
code_switching,il est sympa barsha sa7bek,your friend is very funny,self
code_switching,j'arrive taw taw istaneni,I'm coming right now just wait for me,self
code_switching,c'est bon yezzi,that's enough stop it,self
code_switching,par contre m3andich flous,on the other hand I have no money,self
code_switching,t'inquiète pas ma3adech fama mochkla,don't worry there's no problem anymore,self
code_switching,c'est compliqué barcha el 7keya,the situation is very complicated,self
wedding_celebrations,mabroukkel far7a,congratulations on the wedding,self
wedding_celebrations,lilet el 7enna kenet 7lowa barcha,the henna night was very beautiful,self
wedding_celebrations,el 3aroussa labsa roubet el 3ers,the bride is wearing the wedding dress,self
wedding_celebrations,el tzaghrit yetsma3 men b3id,you can hear the zaghruta from far away,self
wedding_celebrations,el 3ar bich yo93od sab3a ayem,the wedding celebration lasts seven days,self
wedding_celebrations,el 3rousa lebsa jebba,the groom is wearing a jebba,self
wedding_celebrations,iji nestad3ouk lel 3ers mte3na,come we invite you to our wedding,self
wedding_celebrations,5amsa ou 5mis 3la el 3roussa,blessings and tenderness upon the bride,self
wedding_celebrations,jebna fer9a bel bendir ou el darbouka lila kemla,we brought a band that played bendir and darbouka all night,self
wedding_celebrations,el 3ers bde bel fati7a,the wedding started with the fatiha,self
hammem_culture,nemchi lel hammem kol nhar jem3a,I go to the hammem each Friday,self
hammem_culture,jibi ma3ak el kessa wel shampoin,bring the kessa scrub shampoo,self
hammem_culture,el hammem m3abi el youm,the hammem is packed today,self
hammem_culture,7okli dhahri bel behi,scrub my back nicely ,self
hammem_culture,el me skhoun barsha,the water is very hot,self
hammem_culture,93adit fi hammem sa3a kamlha,I stayed in the hammem for a full hour,self
hammem_culture,el s8ar mayemchouch lil 7amem wada7hom,children don't go to the hammem alone,self
hammem_culture,7asit bel ra7a ba3d el hammem,I felt so refreshed after the hammem,self
hammem_culture,bdit bel nsob fel me 9bal ma nod5ol l bit el s5oun,I started pouring water on myself before going into the hot room,self
hammem_culture,el tayeba t7ok bel behi yalzmek tafra7 beha,the hammam lady scrubs really well you have to tip her,self
7ouma_life,wled houma kolna 5wet,we neighbors are all brothers,self
7ouma_life,to7t lel 7ouma nchouf chkoun mawjoud,I went down to the neighborhood to see who's around,self
7ouma_life,el 3zouza mta3 el 7ouma ta3ref kol 7aja,the old lady from the neighborhood knows everything,self
7ouma_life,salemt 3la el 7ouma el kol w ana machi,I greeted the whole neighborhood as I walked,self
7ouma_life,jaw yis2lou 3lina ki mrodhna,they came to check on us when we were sick,self
7ouma_life,el zan9a mte3na feha barcha nes ,our alley has a lot of people in it,self
7ouma_life,kol sbe7 nechrou el 5obz mel koucha mta3 el houma ,we always buy bread from the neighborhood's bakery every morning,self
7ouma_life,ouled el 7ouma yala3bou fel zan9a,the neighborhood kids play in the alley,self
7ouma_life,jret lel 7ouma bech ta3ref el 5bar 9bal el nes el kol,she ran to the neighborhood to find out the news before anyone,self
7ouma_life,fi 7oumtna nes el kol ta3ref b3athha ,in our neighborhood everyone knows everyone,self
ramadan_culture,el madfa3 dhrab w je wa9t cha9an el fatr,the cannon fired and it's time to break the fast,self
ramadan_culture,cha9ina ftarna 3la brik ou chorba,we had iftar with brik and soup,self
ramadan_culture,el adhan fetna lyoum,we missed the prayer call today ,self
ramadan_culture,sharna lel s7our m3a el 3ayla,we stayed up late for s7our with the family,self
ramadan_culture,mabrouk 3lina el chhar el fadhil,congratulations on the blessed month,self
ramadan_culture,el jame3 ken m3abi mbera7 fel trawi7,the mosque was packed last night for tarawih prayers,self
ramadan_culture,7adher el tawla 9bal el adhan,prepare the table before the prayer call,self
ramadan_culture,el makroudh w el ba9lewa mahomch bech yo9o3dou lel 3id,the makroudh and ba9lewa won't last until eid,self
ramadan_culture,fi lyeli romdhan el lil ywali 3andou rou7 ou el aswe9 yo9o3dou ma7loulin ma5er,in ramadan the night becomes alive and the market stays open late,self
ramadan_culture,kamel 5tem el quran fi e5er nhar fi romdhan,he finished the full quran at the last day of ramadhan,self
market_medina,el medina yeser m3abiya lyoum matnajamch temchi,the medina is so crowded today you can't even walk,self
market_medina,a3tini kilo tmatem ou rtal felfel a7mer,give me a kilo of tomatoes and half a kilo of red peppers,self
market_medina,a3tina soumek w taw netfehmou,give us your price and we will negociate ,self
market_medina,ija chouf 3andi sel3a freshka,come look i have very fresh goods,self
market_medina,el fripe fih barcha hajet b soum r5is,the fripe has a lot of items at very cheap prices,self
market_medina,el 3attar 3andou kol 7aja 7low wala mela7,the spice seller has everything from sweet tp salty,self
market_medina,zid tay7elna fel soum,lower the price more ,self
market_medina,echri men 3and el haj brahim dima ar5es men 8irou,buy from haj brahim it's always cheaper than the others,self
market_medina,el sou9 el 3arbi feha 5odhra 5ir ou ar5es mel magasin ,the weekly market has better and cheaper vegetables than the store,self
market_medina,bab bhar 9rib men el medina temchi 3la sa9ik,bab bhar is close to the medina you can walk there,self
barbershop_culture,fama blasa wala nistana,do you have a spot open or do I need to wait,self
barbershop_culture,5ali el chib ou na9es mel fou9 chwaya,leave the grey hair and just trim the top a little,self
barbershop_culture,el 7ajjem ya3ref kolchay ysir fel 7ouma,the barber knows everything going on in the neighborhood,self
barbershop_culture,nadhafli el ajneb bel deux,give me a number two with the clippers and clean up the edges,self
barbershop_culture,el 7ajjem ken m3abi nhar el jem3a nes el kol lena,the barbershop was packed on friday all the guys were there,self
barbershop_culture,7otli chwaya colonia ki tkamel,put some cologne on me when you're done,self
barbershop_culture,el 7ajjem yefhem fel siyesa wel koura,the barber has opinions on both football and politics,self
barbershop_culture,a7ser el la7ya ou 5alili el chle8em,line the beard up straight and leave the mustache,self
barbershop_culture,nemchi lel 7ajem mouch ken lel 7jema,I go to the barber not just for a haircut,self
barbershop_culture,el 7ajjem yfed 3lik ki matjihouch dima ,the barber gives you a hard time if you don't come regularly,self
bureaucracy_paperwork,arja3 8odwa fama chay lyoum,come back tomorrow there's nothing happening today,self
bureaucracy_paperwork,lazem tjib el cache mel bureau el kbir,you have to get the stamp from the main office,self
bureaucracy_paperwork,el nes we9fa 3andha se3a ou houma ma3amlou chay ,people waited for hours and they didn't do anything for us,self
bureaucracy_paperwork,awra9ek ne9sin,your papers are missing one document,self
bureaucracy_paperwork,bara jib chhedet wileda mel baladeya 9bal,go get a birth certificate from the municipality first,self
bureaucracy_paperwork,el idara msakra lyoum arja3 8odwa,the office is closed today come back tomorrow,self
bureaucracy_paperwork,doussik kemel wala ne9es war9a,do you have a complete file or is something missing,self
bureaucracy_paperwork,3adit nhar kemil men beb l beb,I spent the whole day going door to door,self
bureaucracy_paperwork,el keteb 9alek ija mba3d el dhohr,the clerk told you to come after noon,self
bureaucracy_paperwork,taw nkammloulek awra9ek arja3 el jem3a el jeya,we'll finish your paperwork but come back next week,self
football_culture,espérance heya el denya mafama chy e5er,espérance is everything there's nothing else,self
football_culture,match el lila yalzmou yeterba7,tonight's match is a must-win for us,self
football_culture,chkoun ched arbitre el lila ,who's refereeing tonight,self
football_culture,el var fased el tor7,VAR ruined the match,self
football_culture,goal s7i7 wala le ,it was a clear goal or wasn't it,self
football_culture,el coach s3ib maya3rech ya3mel changement,the coach is weak he doesn't know how to sub,self
football_culture,club ywaja3li rasi,club africain gives me a headache,self
football_culture,taw netfarjou fi a7sen el la9tat ba3d el 3che,we'll watch the highlights after dinner,self
football_culture,el stad m3abi el lyoum,the stadium was packed today,self
football_culture,wled el7ouma el kol mchew yetfarjou fel match,all the guys from the neighborhood went to watch the match,self
bac_exam_culture,njeh el bac howa aham haja,passing the bac is everything nothing else matters,self
bac_exam_culture,9adeh jebt fel bac 3amnewil,what was your score in the bac last year,self
bac_exam_culture,wa9teli tji resultat el bac el denya tit9leb,when bac results come out the whole world flips,self
bac_exam_culture,el matiere hedhi s3iba bara zid a9ra ,the subject is hard to pass go study more,self
bac_exam_culture,3andek bac wala mazelt,do you have your bac or not yet,self
bac_exam_culture,el devoir 8odwa ou manich m7adher,the exam is tomorrow and i didn't prepare for it,self
bac_exam_culture,tnajem tenja7 bel matieret el sehlin,you can pass with the easy subjects,self
bac_exam_culture,el section informatique trod el bac s3ib,the informatique section makes the bac hard,self
bac_exam_culture,el resultat habtet w 3ayelti far7et barcha,the results came out and my family was so happy,self
bac_exam_culture,miselch el bac mouch e5er el denya tnajem t3awed el 3am el jey,the bac is not the end of the world you can try again next year,self
work_jobseeking,n7eb nlawwej 3la 5hedma fisa3,i want to find a job quickly,self
work_jobseeking,ma3andich aktef ou mana3ref 7ad,i don't have connections or know anyone,self
work_jobseeking,ba3tht el CV mte3i fel blayes el kol oy majewebni 7ad,i sent my CV everywhere and they didn't reply,self
work_jobseeking,el interview 8odwa w ena 5ayef barcha,the interview is tomorrow and i am very scared,self
work_jobseeking,9alouli el 5edma yalzamha experience wena ma3andi hata experience,they told me the job requires experience and i have zero experience,self
work_jobseeking,sahbi ista3mel 3ala9atou ou da5louh mel beb el kbir,my friend used his connections and they got him in through the big door,self
work_jobseeking,el 5edma el 7oukoumeya stable ama ma3andich chkoun yda5alni fel domaine,the government job has security but i have no one to get it for me,self
work_jobseeking,nemchi lel ANETI kol jem3a w mafama chay,i go to ANETI every week and there is nothing,self
work_jobseeking,9alouli tnajem ta3mel freelance fel internet,they told me i can do freelance on the internet,self
work_jobseeking,fi tounes el chheda matkafich lazem 3andek aktef,in tunisia the degree is not enough you need connections too,self
coffee_shop_arguments,el entreneur mta3 el taraji 5edemtou behiya ama el selection mte3ou 5ayba,the esperance trainer works very well but his selection is bad,self
coffee_shop_arguments,y9oulouli el ahly ahsen club fel afrique ama bensba leya el taraji fou9 el kol ,they tell me al ahly is the best club in africa but i say esperance is above everyone,self
coffee_shop_arguments,el siyessa fi tounes kol wa7ed ya3ref yahki w 7ata 7ad maya3ref ye5dem ,politics in tunisia everyone knows how to talk and no one knows how to act,self
coffee_shop_arguments,ma3adech tdhaya3 el wa9t testa3mel fel taliphoun wala ta7ki m3a el ness,stop wasting time on the phone or talk with people,self
coffee_shop_arguments,aswem el 9ahwa zedet barcha ou ta3mha wala bel me,the coffee shop prices went up a lot and the coffee became watery,self
coffee_shop_arguments,ena 3andi 7a9 wenti ta3ref,i am right and you know it,self
coffee_shop_arguments,winha el se7a ou winou el ta3lim 3aychin min 8ir 5adamet el dawla,where is the healthcare where is the education we are living without state services,self
coffee_shop_arguments,kol marra  yji el coup du monde t9oul nchlh el sne mba3d el mara el jeya yezina 3ad,every time the world cup passes you say this year then the next enough,self
coffee_shop_arguments,el niveau mta3 el koura ta7 fi tounes besbab el mouchaj3in mouch el mle3beya,the level of football in tunisia went down because of the fans not the players,self
coffee_shop_arguments,9adeh to93od testa3mel fi wifi el 9ahwa ou 7ad maykalmek,how much do you use the cafe wifi and no one says anything,self
louage_culture,el louage 5arej wala mezel,is the louage leaving or not yet,self
louage_culture,9a7ez chwaya 8adi fama blasa,move over a bit there is plenty of space there,self
louage_culture,ki nerkeb fil louage nansa el denya,when i get in the louage i forget the whole world,self
louage_culture,bech temchi el sfax wala bech ta7bes fel thneya,are you going all the way to sfax or stopping on the way,self
louage_culture,bara fisa3 ma3adnech wa9t bich nbadlou el blayes,go go go we don't have time to switch seats,self
louage_culture,a3tini 7a9 blasa taw na3tiha lel chauffeur,give me your money i'll pass it to the driver,self
louage_culture,el louage ma yemchiich 7ata yet3aba,the louage doesn't leave until it's full,self
louage_culture,sa7bi saker el beb el ri7 de5el,bro close the door the wind is coming in,self
louage_culture,wini m7atet el louage fi tounes,where is the louage station in tunis,self
louage_culture,yezini lena 3al imin ena manajamch nkamel el doura el kol,drop me off here on the right i can't do the whole trip,self
3aylet_gathering,el 3ila el kol jet lyoum el dar walet souk,the whole family came today the house turned into a market,self
3aylet_gathering,3amti tlawej 3la ay haja t3ale9 3leha fi darek,my aunt finds something to comment on in every corner of your house,self
3aylet_gathering,kif ma yji el 3id yji m3a el machekil wel 7keyet,whenever the holiday comes so does the problems and the drama,self
3aylet_gathering,3ami yji yekel ou yochrob ou yrawa7 men 8ir may9oul 3aychek,my uncle comes eats drinks and leaves without even saying thanks,self
3aylet_gathering,el sghar mayark7ouch jemla fil dar t9ouch 3lehom maliha,the kids have no chill in the house it's like they took over,self
3aylet_gathering,dima y9oulou bech y3awnou fel koujina ou 7ad may3awen,everyone says they'll help in the kitchen and nobody actually helps,self
3aylet_gathering,3ami d5al ya7ki fel siyesa ou nasena fel mekla,my uncle started talking politics and made us forget about the food,self
3aylet_gathering,ommi tebda tnadhef fel dar ki yraw7ou el dhiyef,my mom starts cleaning the second the guests leave,self
3aylet_gathering,el 9ahwa ou el 7alwa mayekfouch el 3ayla kbira,coffee and sweets are never enough for a big family gathering,self
3aylet_gathering,kollhom y9oulou bech yraw7ou ou 7ad ma5raj,they all say we're leaving and nobody actually leaves,self
3rouset_el_7ouma,el 7ouma kollha 9a3da fel kresi barra,the whole neighborhood is sitting outside on chairs,self
3rouset_el_7ouma,el mizwed 3ali fel lil ou el jiren yetchakew,the mezoued is blasting at night and the neighbors are complaining,self
3rouset_el_7ouma,sakrou el zanka bel kresi ou matnajamch tet3ada,they blocked the street with chairs and you can't get through,self
3rouset_el_7ouma,el s8ar mezelou yejrou fel lil ,the kids are still running around the neighborhood at midnight,self
3rouset_el_7ouma,el 3aroussa 5rajt bel 7enna ou el nes el kol bdew y8aniew,the bride came out with henna and everyone started singing,self
3rouset_el_7ouma,jiran li 3omri ma7kit m3ahom ysalmou 3laya fel 3ers,neighbors i've never spoken to are greeting me at the wedding,self
3rouset_el_7ouma,el mekla tfar9et fo ose7na 3al 7ouma el kol,food was distributed on plates to everyone in the neighborhood,self
3rouset_el_7ouma,el 3ers mawfech 7ata el madhitletha mta3 el sbe7 ,the wedding didn't end until three in the morning,self
3rouset_el_7ouma,ommi labset el 7rir mta3ha bech ta7dher lel 3ers,my mom wore her silk dress to attend the neighborhood wedding,self
3rouset_el_7ouma,el lila fi feha chkoun y3arej fel 7ouma matnajamch tor9od,the night someone in the neighborhood has a wedding you can't sleep,self
police_w_dawla,a7bes a7bes het bita9et ta3rif 5al nchouf,stop stop give me your id so i can check,self
police_w_dawla,el boulicia waqfitni fel barrage w chefou el awra9 el kol,the police stopped me at the checkpoint and checked all my papers,self
police_w_dawla,bita9et ta3rif mte3ek wefiya badaltha 9bal ma y5atouk,your id is expired you need to go renew it before they give you a fine,self
police_w_dawla,3andek matzid bech n7elou el mawdhou3,do you have something to add to it so we can sort this out,self
police_w_dawla,3amel ro7ou bahloul bech ysalek ro7ou,he's playing dumb so he lets you go without making a problem,self
police_w_dawla,kol mara y9oli fama war9a ne9sa ou ki tjibha yzid y9olek war9a o5ra mocuh mawjouda,every time he says a paper is missing and when you bring it he says there's another one missing,self
police_w_dawla,9a3dit fel markez mel sbe7 lel 3cheya ou mal9it 7ad,i sat at the police station from morning until noon and didn't find anyone,self
